Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
ECE - Option économique,60390,59015,796,1364,151,102,65,54742,775,3384,3379,78,4428,3383,1,0,33076,2045
Ecole nationale des Chartes,837,837,2,0,0,1,0,732,0,118,123,0,130,118,0,0,587,87
Ecole supérieure d'art,2298,2112,230,179,22,108,19,896,48,188,292,1,390,143,10,35,1558,210
Economie,40101,38027,1890,2063,330,371,194,29340,478,3099,3443,620,4365,2775,92,232,17478,1577
Economie et gestion,146848,136242,11820,10557,1628,2265,1075,100297,2335,11149,12468,2254,16512,9183,542,1424,69226,6144
Economie sociale familiale,60173,57332,15880,2822,613,20534,832,8803,189,2795,3219,240,3954,484,1248,1063,54368,3239
ECS - Option scientifique,76848,75603,87,1244,31,13,22,66236,833,3387,3482,67,4454,3387,0,0,36047,1744
ECT - Option technologique,8839,8420,7766,416,310,206,6,0,0,1112,1105,38,1410,0,62,1050,4258,576
Edition,660,660,81,0,0,96,0,247,0,18,30,0,30,8,5,5,525,24
"Electronique, énergie électrique, automatique",2747,2332,242,415,45,83,56,1419,91,178,202,108,454,126,24,28,391,56
Electrotechnique,38423,36471,9827,1926,523,17595,632,2312,79,3096,3276,203,4277,149,1928,1019,1199,74
ENS Cachan C,1058,1051,391,7,3,4,0,446,3,73,91,2,107,42,0,31,846,77
ENS Cachan D2,8358,8126,191,232,21,14,15,7341,110,592,605,21,682,586,0,6,4476,325
ENS Rennes D1,12443,12377,111,66,6,9,2,11629,36,579,586,5,609,568,0,11,8708,461
Enveloppe des bâtiments : conception et réalisation,2276,2159,812,116,24,796,45,191,4,164,179,14,229,12,100,52,291,20
Environnement nucléaire,1080,1065,475,15,7,276,1,178,2,57,61,3,72,8,29,20,102,8
Escalade en milieu naturel,30,29,15,1,0,0,0,11,0,0,0,0,5,0,0,0,8,0
Espace,9738,9426,1985,312,59,920,44,3700,74,234,302,12,319,130,13,91,7825,262
Etude et économie de la construction,8694,8267,2696,422,133,2842,76,1117,26,681,750,43,844,92,338,251,1489,176
Etude et réalisation d'agencement,6602,6447,1682,154,28,2451,39,1003,24,326,370,8,391,38,197,91,3096,194
Etudes culturelles,591,486,17,105,11,22,14,339,22,76,88,27,170,62,7,7,434,76
Etudes et réalisation d'un projet de communication - 1ère année commune,2489,2287,423,194,20,1100,57,238,21,382,429,23,460,39,286,57,1044,188
Etudes européennes et internationales,755,723,24,32,3,11,1,577,4,69,75,3,127,66,1,2,620,62
Europlastics et composites à référentiel commun européen - option Conception d'Outillage,563,512,200,51,14,206,18,50,4,77,79,11,125,7,45,25,62,8
Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production,675,595,196,80,31,292,20,42,8,117,113,16,221,7,79,31,63,10
Événement,2120,1970,443,150,35,250,19,662,28,87,107,11,123,34,18,35,1793,104
"Fluide, énergie, domotique - option A génie climatique et fluidique",6368,6181,1844,186,55,3041,49,352,7,466,510,29,664,31,282,153,166,9
