Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
Autre formation,"CUPGE - Sciences, technologie, santé",cycle préparatoire ingénieur (matériaux),262,84,244,209,3,0,18,4,1,4,20,17,0,16,16,0,0,3
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle préparatoire ingénieur technologies de l'information,431,96,431,354,14,3,0,0,0,0,48,48,0,48,48,0,0,4
Autre formation,Formations d'ingénieurs,Cycle préparatoire intégré,106,10,76,62,10,0,30,18,0,0,100,18,7,24,24,0,0,1
Autre formation,CUPGE - Arts Lettres Langues,Cycle Préparatoire Lettres  - Licence renforcée,150,126,141,120,2,2,9,0,1,5,40,20,0,19,19,0,0,18
Autre formation,"CUPGE - Sciences, technologie, santé","Cycle préparatoire Physique Chimie, parcours d'Excellence",213,96,171,134,6,0,42,6,7,1,60,18,1,18,18,0,0,7
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle Universitaire de Préparation aux Grandes Ecoles Scientifiques,107,48,84,63,5,1,23,8,1,2,20,7,3,8,8,0,0,7
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle Universitaire Préparatoire aux Grandes Ecoles,1832,664,1832,1442,55,16,0,0,0,0,126,123,0,104,104,0,0,44
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle Universitaire Préparatoire aux Grandes Ecoles - Mathématiques et Physique,755,244,688,532,17,9,67,22,3,3,20,17,3,17,17,0,0,12
Autre formation,"CUPGE - Sciences, technologie, santé","Cycle universitaire préparatoire aux grandes écoles - Parcours Informatique, Mathématiques",175,43,132,101,4,0,43,11,2,1,28,7,0,6,6,0,0,2
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle universitaire préparatoire aux grandes écoles - Parcours Sciences pour l'ingénieur,253,66,205,177,4,0,48,16,4,0,36,11,4,10,10,0,0,6
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle universitaire préparatoire aux grandes écoles - Physique,263,61,202,155,1,4,61,16,5,2,30,18,6,18,18,0,0,7
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle Universitaire Préparatoire aux Grandes Ecoles - Physique et Mathématiques,494,158,406,306,8,6,88,18,6,5,20,12,1,9,9,0,0,7
Autre formation,Diplôme des métiers d'Arts,Décor architectural A : Traitement plastique de la transparence (vitrail),61,50,61,3,15,4,0,0,0,0,7,7,0,0,0,0,0,6
Autre formation,Diplôme des métiers d'Arts,Décor architectural B : Décor du mur : Laque,43,34,43,4,11,3,0,0,0,0,6,6,0,1,0,0,1,5
Autre formation,Diplôme des métiers d'Arts,Décor architectural B : Décor du mur : Mosaïque / fresque,89,71,71,12,15,6,18,4,4,2,12,11,1,3,1,0,2,10
Autre formation,Diplôme des métiers d'Arts,Décor architectural C : Métal,95,47,95,9,19,2,0,0,0,0,7,7,0,1,0,0,1,4
Autre formation,Diplôme des métiers d'Arts,Décor architectural D : Matériaux de synthèse,110,90,110,10,24,2,0,0,0,0,12,12,0,1,0,0,1,8
Autre formation,Diplôme des métiers d'Arts,Décor architectural Option arts du verre et du cristal,79,57,79,10,28,7,0,0,0,0,12,9,0,3,0,0,3,9
BTS,BTS - Services,Design Communication - Espace - Volume,2208,1865,2075,0,814,273,129,0,30,24,245,165,21,93,0,32,61,164
BTS,BTS - Production,"Design de mode, textile et environnement opt : mode",3217,2739,3210,0,1062,609,7,0,2,0,196,198,2,89,0,22,67,167
